name,price,brand,size_value,size_unit,category,subcategory,url
Milky Mist Curd Pouch 400 Gm,₹ 36.00,Milky Mist,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt
Amul Stirred Blueberry Yoghurt 100 Gm,₹ 22.00,Amul,100,Gm,diary,,https://www.starquik.com/collections/curd-yougurt
Amul Stirred Strawberry Yoghurt 100 Gm,₹ 22.00,Amul,100,Gm,diary,,https://www.starquik.com/collections/curd-yougurt
Ao Curd Pouch 200 Gm,,Ao,200,Gm,diary,,https://www.starquik.com/collections/curd-yougurt
Ao Curd Pouch 500 Gm,,Ao,500,Gm,diary,,https://www.starquik.com/collections/curd-yougurt
Ao Greek Yoghurt Plain 90 Gm,,Ao,90,Gm,diary,,https://www.starquik.com/collections/curd-yougurt
Ao Greek Yoghurt Mango 90 Gm,,Ao,90,Gm,diary,,https://www.starquik.com/collections/curd-yougurt
Epigamia Every Day Yogurt Mango 75 Gm,,Epigamia,75,Gm,diary,,https://www.starquik.com/collections/curd-yougurt
Epigamia Every Day Yogurt Strawberry 75 Gm,,Epigamia,75,Gm,diary,,https://www.starquik.com/collections/curd-yougurt
Epigamia Every Day Yogurt Lychee 75 Gm,,Epigamia,75,Gm,diary,,https://www.starquik.com/collections/curd-yougurt
Amul Masti Dahi Tub 1 Kg,,Amul,1,Kg,diary,,https://www.starquik.com/collections/curd-yougurt
Milky Mist Probiotic Curd Cup 400 Gm,₹ 67.90,Milky Mist,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt
Amul Mango Yoghurt 100 Gm,₹ 22.00,Amul,100,Gm,diary,,https://www.starquik.com/collections/curd-yougurt
Milky Mist Curd Pouch 200 Gm,,Milky Mist,200,Gm,diary,,https://www.starquik.com/collections/curd-yougurt
Heritage Total Curd Cup 180 Ml,,Heritage,,,diary,,https://www.starquik.com/collections/curd-yougurt
Heritage Tm Curd Tub 1Kg,,Heritage,1,Kg,diary,,https://www.starquik.com/collections/curd-yougurt
Jersey Toned Milk Curd 1 Kg,,Jersey,1,Kg,diary,,https://www.starquik.com/collections/curd-yougurt
Id Curd Pouch 400 Gm,₹ 42.00,Id,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt
Epigamia Misti Doi 80 Gm,₹ 35.00,Epigamia,80,Gm,diary,,https://www.starquik.com/collections/curd-yougurt
Heritage Curd Cup 400 Gm,₹ 85.00,Heritage,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt
Nandini Fresh Curd 500 Ml,,Nandini,,,diary,,https://www.starquik.com/collections/curd-yougurt
Milky Mist Mango Fruit Yoghurt 100 Ml,₹ 29.10,Milky Mist,,,diary,,https://www.starquik.com/collections/curd-yougurt
Milky Mist Curd Cup 1 Kg,₹ 138.00,Milky Mist,1,Kg,diary,,https://www.starquik.com/collections/curd-yougurt
Heritage Premium Curd Pouch 500 Gm,,Heritage,500,Gm,diary,,https://www.starquik.com/collections/curd-yougurt
Milky Mist Curd Cup 200 Gm,₹ 30.00,Milky Mist,200,Gm,diary,,https://www.starquik.com/collections/curd-yougurt
Milky Mist Curd Cup 400 Gm,₹ 63.05,Milky Mist,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt
Milky Mist Strawberry Fruit Yoghurt 100 Ml,₹ 29.10,Milky Mist,,,diary,,https://www.starquik.com/collections/curd-yougurt
Milky Mist Blueberry Fruit Yoghurt 100 Ml,₹ 29.10,Milky Mist,,,diary,,https://www.starquik.com/collections/curd-yougurt
Mother Dairy Mishti Doi Cup 85 Gm,₹ 19.40,Mother Dairy,85,Gm,diary,,https://www.starquik.com/collections/curd-yougurt
Mother Dairy Mishti Doi Cup 400 Gm,₹ 72.75,Mother Dairy,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt
Epigamia Natural 85 Gm,₹ 60.00,Epigamia,85,Gm,diary,,https://www.starquik.com/collections/curd-yougurt
Epigamia Alphonso Mango 85 Gm,₹ 60.00,Epigamia,85,Gm,diary,,https://www.starquik.com/collections/curd-yougurt
Epigamia Strawberry 85 Gm,₹ 60.00,Epigamia,85,Gm,diary,,https://www.starquik.com/collections/curd-yougurt
Epigamia Blueberry 85 Gm,₹ 60.00,Epigamia,85,Gm,diary,,https://www.starquik.com/collections/curd-yougurt
Amul Masti Dahi Pouch 390 Gm,₹ 32.30,Amul,390,Gm,diary,,https://www.starquik.com/collections/curd-yougurt
Gowardhan Star Dahi Pouch 1 Kg,₹ 67.00,Gowardhan,1,Kg,diary,,https://www.starquik.com/collections/curd-yougurt
Amul Dahi Pouch 1 Kg,,Amul,1,Kg,diary,,https://www.starquik.com/collections/curd-yougurt
Amul Masti Dahi Cup 400 Gm,₹ 44.65,Amul,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt
Mother Dairy Dahi Cup 400 Gm,₹ 67.90,Mother Dairy,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt
Gowardhan Curd Cup 400 Gm,₹ 71.25,Gowardhan,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt
Amul Masti Dahi 1 Kg,₹ 76.00,Amul,1,Kg,diary,,https://www.starquik.com/collections/curd-yougurt
Gowardhan Curd Tub 1 Kg,₹ 118.75,Gowardhan,1,Kg,diary,,https://www.starquik.com/collections/curd-yougurt
Mother Dairy Dahi Pouch 1 Kg,₹ 72.00,Mother Dairy,1,Kg,diary,,https://www.starquik.com/collections/curd-yougurt
Mother Dairy Cup Curd 400 Gm,₹ 55.00,Mother Dairy,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt
Epigamia Greek Natural Yogurt 400 Gm,₹ 220.00,Epigamia,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt
Milky Mist Curd Pouch 400 Gm,₹ 36.00,Milky Mist,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Amul Stirred Blueberry Yoghurt 100 Gm,₹ 22.00,Amul,100,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Amul Stirred Strawberry Yoghurt 100 Gm,₹ 22.00,Amul,100,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Ao Curd Pouch 200 Gm,,Ao,200,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Ao Curd Pouch 500 Gm,,Ao,500,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Ao Greek Yoghurt Plain 90 Gm,,Ao,90,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Ao Greek Yoghurt Mango 90 Gm,,Ao,90,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Epigamia Every Day Yogurt Mango 75 Gm,,Epigamia,75,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Epigamia Every Day Yogurt Strawberry 75 Gm,,Epigamia,75,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Epigamia Every Day Yogurt Lychee 75 Gm,,Epigamia,75,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Amul Masti Dahi Tub 1 Kg,,Amul,1,Kg,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Milky Mist Probiotic Curd Cup 400 Gm,₹ 67.90,Milky Mist,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Amul Mango Yoghurt 100 Gm,₹ 22.00,Amul,100,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Milky Mist Curd Pouch 200 Gm,,Milky Mist,200,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Heritage Total Curd Cup 180 Ml,,Heritage,,,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Heritage Tm Curd Tub 1Kg,,Heritage,1,Kg,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Jersey Toned Milk Curd 1 Kg,,Jersey,1,Kg,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Id Curd Pouch 400 Gm,₹ 42.00,Id,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Epigamia Misti Doi 80 Gm,₹ 35.00,Epigamia,80,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Heritage Curd Cup 400 Gm,₹ 85.00,Heritage,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Nandini Fresh Curd 500 Ml,,Nandini,,,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Milky Mist Mango Fruit Yoghurt 100 Ml,₹ 29.10,Milky Mist,,,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Milky Mist Curd Cup 1 Kg,₹ 138.00,Milky Mist,1,Kg,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Heritage Premium Curd Pouch 500 Gm,,Heritage,500,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Milky Mist Curd Cup 200 Gm,₹ 30.00,Milky Mist,200,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Milky Mist Curd Cup 400 Gm,₹ 63.05,Milky Mist,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Milky Mist Strawberry Fruit Yoghurt 100 Ml,₹ 29.10,Milky Mist,,,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Milky Mist Blueberry Fruit Yoghurt 100 Ml,₹ 29.10,Milky Mist,,,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Mother Dairy Mishti Doi Cup 85 Gm,₹ 19.40,Mother Dairy,85,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Mother Dairy Mishti Doi Cup 400 Gm,₹ 72.75,Mother Dairy,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Epigamia Natural 85 Gm,₹ 60.00,Epigamia,85,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Epigamia Alphonso Mango 85 Gm,₹ 60.00,Epigamia,85,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Epigamia Strawberry 85 Gm,₹ 60.00,Epigamia,85,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Epigamia Blueberry 85 Gm,₹ 60.00,Epigamia,85,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Amul Masti Dahi Pouch 390 Gm,₹ 32.30,Amul,390,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Gowardhan Star Dahi Pouch 1 Kg,₹ 67.00,Gowardhan,1,Kg,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Amul Dahi Pouch 1 Kg,,Amul,1,Kg,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Amul Masti Dahi Cup 400 Gm,₹ 44.65,Amul,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Mother Dairy Dahi Cup 400 Gm,₹ 67.90,Mother Dairy,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Gowardhan Curd Cup 400 Gm,₹ 71.25,Gowardhan,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Amul Masti Dahi 1 Kg,₹ 76.00,Amul,1,Kg,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Gowardhan Curd Tub 1 Kg,₹ 118.75,Gowardhan,1,Kg,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Mother Dairy Dahi Pouch 1 Kg,₹ 72.00,Mother Dairy,1,Kg,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Mother Dairy Cup Curd 400 Gm,₹ 55.00,Mother Dairy,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Epigamia Greek Natural Yogurt 400 Gm,₹ 220.00,Epigamia,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:12:26
Milky Mist Curd Pouch 400 Gm,₹ 36.00,Milky Mist,400,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Amul Stirred Blueberry Yoghurt 100 Gm,₹ 22.00,Amul,100,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Amul Stirred Strawberry Yoghurt 100 Gm,₹ 22.00,Amul,100,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Ao Curd Pouch 200 Gm,,Ao,200,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Ao Curd Pouch 500 Gm,,Ao,500,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Ao Greek Yoghurt Plain 90 Gm,,Ao,90,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Ao Greek Yoghurt Mango 90 Gm,,Ao,90,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Epigamia Every Day Yogurt Mango 75 Gm,,Epigamia,75,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Epigamia Every Day Yogurt Strawberry 75 Gm,,Epigamia,75,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Epigamia Every Day Yogurt Lychee 75 Gm,,Epigamia,75,Gm,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
Amul Masti Dahi Tub 1 Kg,,Amul,1,Kg,diary,,https://www.starquik.com/collections/curd-yougurt,2025-09-20 11:13:32
