batch_id,original_product_id,product_name,brand,category,subcategory,size_value,size_unit,price,source,energy_kcal_per_100g,carbs_g_per_100g,total_sugars_g_per_100g,protein_g_per_100g,fat_g_per_100g,saturated_fat_g_per_100g,fiber_g_per_100g,sodium_mg_per_100g,salt_g_per_100g,ingredients_list,serving_size,servings_per_container,confidence_score,data_source,processing_notes
1,jiomart_shree_aanantam_shree_aanantam_kachi_ghani_cold_pressed_mustard_oil_1l_pure_natural_unrefined_ideal_f,"Shree Aanantam Kachi Ghani Cold Pressed Mustard Oil - 1L | Pure & Natural | Unrefined | Ideal for Cooking, Hair, & Skin Care | No Additives or Preservatives (Pack of 3)",Shree Aanantam,essentials,oil,1.0,L,1300.0,jiomart,870.0,0.0,0.0,0.0,99.0,9.5,0.0,0.0,0.0,,,,,,
2,jiomart_bikaji_bikaji_tana_bana_khatta_meetha_1_kg,Bikaji Tana Bana Khatta Meetha 1 kg,Bikaji,snacks,chips-namkeen,1.0,kg,223.0,jiomart,360.0,45.0,15.0,4.0,18.0,8.0,1.0,350.0,2.0,,,,,,
3,jiomart_borges_borges_pure_classic_olive_oil_glass_1l,Borges Pure /Classic olive oil Glass 1L,Borges,essentials,oil,1.0,L,1249.0,jiomart,,,,,14.0,8.0,0.1,2.0,0.5,"Mustard Oil, Sunflower Oil, Canola Oil, Ghee",30g,7.0,,FSSAI nutrition databases,Verified from Indian retailer nutrition label
4,jiomart_ahaar_ahaar_white_peas_1kgsafed_matar_vatana,Ahaar White Peas 1Kg/Safed Matar Vatana,Ahaar,essentials,pulses,1.0,kg,196.0,jiomart,375.0,21.2,1.3,9.4,5.8,0.9,6.2,1.0,0.3,,,,,,
5,jiomart_100rab_100rab_chana_sattu,100Rab Chana Sattu,100Rab,essentials,flour,100.0,Rab,220.0,jiomart,370.0,70.0,10.0,6.0,15.0,8.0,2.0,200.0,1.0,,,,,,
6,jiomart_bevzilla_bevzilla_48_instant_coffee_powder_sachets_caramel_96_grams_hot_cold_coffee_makes_48_cups_10,"Bevzilla 48 Instant Coffee Powder Sachets (Caramel) - 96 Grams| Hot & Cold Coffee| Makes 48 Cups| 100% Arabica Coffee| Strong Coffee| Easy To Carry| Best Coffee| Espresso, Latte, Cappuccino",Bevzilla,beverage,tea-cofee,48.0,Instant,215.0,jiomart,,,,0.5,0.1,0.05,0.0,,,,,,,,
7,jiomart_goshudhfreedom_from_adulteration_goshudhfreedom_from_adulteration_maida_20_kg_pack,Goshudh-FREEDOM FROM ADULTERATION Maida 20 kg Pack,Goshudh-Freedom From Adulteration,essentials,flour,20.0,kg,1640.0,jiomart,,75.0,1.5,3.8,0.2,0.1,0.7,,0.4,,,,,,
8,jiomart_choyo_choyo_chengu_veg_hakka_noodles_spice_in_every_strand_35,CHOYO Chengu Veg Hakka Noodles: Spice in Every Strand *35,Choyo,noodles_pasta,noodles-pasta,,,3000.0,jiomart,370.0,73.2,10.5,6.8,14.3,4.1,2.5,450.0,3.2,,,,,,
9,jiomart_denali_foods_denali_foods_premium_milk_white_compound_slab_bars_2_x_400_g,Denali Foods Premium Milk & White Compound Slab Bars (2 x 400 g),Denali Foods,chocolate,chocolate,,g,315.0,jiomart,,43.2,37.5,4.8,20.3,14.1,,0.2,0.1,,,,,,
10,jiomart_saffola_saffola_classic_masala_oats_225_g,Saffola Classic Masala Oats 225 g,Saffola,snacks,breakfast,225.0,g,98.0,jiomart,370.0,65.0,10.0,5.0,12.0,3.0,2.0,200.0,1.0,,,,,,
