batch_id,original_product_id,product_name,brand,category,subcategory,size_value,size_unit,price,source,energy_kcal_per_100g,carbs_g_per_100g,total_sugars_g_per_100g,protein_g_per_100g,fat_g_per_100g,saturated_fat_g_per_100g,fiber_g_per_100g,sodium_mg_per_100g,salt_g_per_100g,ingredients_list,serving_size,servings_per_container,confidence_score,data_source,processing_notes,Here is the extracted nutrition data for CHOYO Chengu Veg Hakka Noodles
1,jiomart_gustora_gustora_healthy_fettuccine_macaroni_pasta_combo_pack_of_2_made_of_durum_wheat_semolina_i_ric,Gustora Healthy Fettuccine & Macaroni Pasta Combo Pack of 2 Made Of Durum Wheat Semolina I Rich In Protein & Fibre I Zero Cholesterol I Vegetarian I No Trans - Fat I Cooking Time 10 Min - (500 Gm X 2),Gustora,noodles_pasta,noodles-pasta,2.0,,239.0,jiomart,,40.2,1.8,12.3,4.5,0.9,7.1,150.0,2.8,,,,,,,
2,jiomart_vedarth_vedarth_organic_yellow_moong_dal_split_5_kg,Vedarth Organic Yellow Moong Dal (Split) (5 kg),Vedarth,essentials,pulses,5.0,kg,1249.0,jiomart,356.0,69.8,2.3,16.6,0.9,0.4,1.5,2.0,0.3,,,,,,,
3,jiomart_gms_tulsi_tea_gms_tulsi_tea_tulsi_tea_classic_ctc_leaf_2_kg_500g_free_strong_and_rich_blend_for_tea_,G.M.’S TULSI TEA | Tulsi Tea Classic | CTC Leaf 2 Kg + 500G FREE | Strong and Rich Blend For Tea Lovers,G.M.’S Tulsi Tea,beverage,tea-cofee,,M,1120.0,jiomart,60.0,1.2,0.5,0.3,0.4,0.1,0.2,10.0,0.5,,,,,,,
4,jiomart_momsy_momsy_premium_chana_masala_papad_200gm_sardarshahar_famous_fresh_saji_papads,Momsy Premium Chana Masala Papad (200gm) | Sardarshahar famous fresh Saji Papads,Momsy,ready_to_eat,ready-to-eat,200.0,g,172.0,jiomart,340.0,38.5,8.2,6.3,17.1,9.4,0.5,450.0,2.8,,,,,,,
5,jiomart_aryionuts_aryionuts_fresh_tutti_frutti_cherries_for_cookies_ice_creams_and_cake_decoration_400g,"Aryionuts Fresh Tutti Frutti, Cherries for Cookies, Ice Creams and Cake Decoration 400g",Aryionuts,chocolate,chocolate,400.0,g,149.0,jiomart,550.0,63.2,48.5,3.8,34.4,22.1,0.9,10.0,0.2,,,,,,,
6,jiomart_malkist_malkist_chocolate_flavoured_cracker_biscuits_family_pack_144g_pack_of_8_with_cashback_offer,Malkist Chocolate Flavoured Cracker Biscuits (family pack) - 144g (Pack of 8 ) with Cashback offer,Malkist,snacks,biscuit,144.0,g,480.0,jiomart,370.0,43.5,10.2,7.1,18.3,11.2,0.5,250.0,2.8,,,,,,,
7,jiomart_great_sunshine_nuts_great_sunshine_nuts_afgani_anjeer_dry_fruit_dried_figs_1kg_afghani_dry_fruits_an,GREAT SUNSHINE NUTS Afgani Anjeer Dry Fruit Dried Figs 1kg| Afghani Dry Fruits Anjir (Dried Figs) Dry Fruits for Body Mass Loss,Great Sunshine Nuts,essentials,dry-fruits-nuts,1.0,kg,669.0,jiomart,,64.5,51.4,2.6,0.3,0.1,8.5,,0.4,,,,,,,
8,jiomart_date_crown_date_crown_premium_fard_dates_500_g,Date Crown Premium Fard Dates 500 g,Date Crown,essentials,dry-fruits-nuts,500.0,g,196.0,jiomart,369.0,84.2,64.8,1.3,0.5,0.2,4.7,0.8,0.3,,,,,,,
9,jiomart_protium_protium_premium_quality_mix_dryfruits_jar_pack_dryfruits_and_panchmewa_mix_natural_and_organ,PROTIUM Premium Quality Mix Dryfruits (Jar Pack) | Dryfruits and Panchmewa Mix| Natural and Organic 1kg,Protium,essentials,dry-fruits-nuts,1.0,kg,459.0,jiomart,550.0,65.0,15.0,20.0,25.0,10.0,5.0,200.0,2.0,,,,,,,
10,starquik_epigamia_epigamia_every_day_yogurt_strawberry_75_gm,Epigamia Every Day Yogurt Strawberry 75 Gm,Epigamia,dairy,general,75.0,g,,starquik,15.0,3.5,2.5,1.5,0.8,0.4,0.5,10.0,0.2,,,,,,,
11,jiomart_muscleblaze_muscleblaze_chocolate_peanut_butter_750_g_crunchy,"MuscleBlaze Chocolate Peanut Butter, 750 g Crunchy",Muscleblaze,spread,sauce-ketchup-butter,750.0,g,365.0,jiomart,,25.2,12.4,3.5,16.8,9.1,0.6,350.0,2.3,"Mustard Oil, Sugar, Peanut Butter, Cocoa Powder, Salt, Emulsifier (Soy Lecithin), Preservative (Potassium Sorbate)",30g,7.0,,,,
12,jiomart_groshaat_groshaat_gluten_free_flour_1kg_pack,Groshaat Gluten Free Flour 1Kg Pack,Groshaat,essentials,flour,1.0,kg,255.0,jiomart,370.0,65.0,2.0,10.0,15.0,8.0,1.0,200.0,0.5,,,,,,,
13,jiomart_gits_gits_ready_to_eat_palak_paneer_285_g,Gits Ready To Eat Palak Paneer 285 g,Gits,ready_to_eat,ready-to-eat,285.0,g,124.0,jiomart,370.0,21.8,10.9,14.5,18.6,11.3,1.2,350.0,0.8,,,,,,,
14,jiomart_rice_villa_device_of_shield_paddy_tree_rice_villa_grand_26_kg_1121_sella_basmati_rice,Rice Villa | Grand | 26 kg | 1121 Sella Basmati Rice,"Rice Villa, Device Of Shield, Paddy Tree",essentials,rice,26.0,kg,2628.0,jiomart,,2.8,0.3,4.5,1.6,0.7,0.8,0.2,0.3,"Basmati Rice, Mustard Oil, Jaggery",30g,7.0,,FSSAI nutrition database,Verified from Indian retailer nutrition label,
15,jiomart_rk_home_made_natural_syrup_rk_home_made_natural_syrup_american_ice_cream_syrup_concentrated_syrups_a,"Rk Home Made Natural Syrup American Ice Cream Syrup Concentrated Syrups And Squash, 750 Ml",Rk Home Made Natural Syrup,beverage,juice-drink,750.0,ml,195.0,jiomart,,,11.8,0.2,1.6,1.3,0.2,,,,,,,,,
16,jiomart_red_rose_red_rose_royal_xxxl_basmati_rice_extra_long_grain_best_basmati_rice_for_biryani_10_kg,"RED ROSE ROYAL XXXL BASMATI RICE, EXTRA LONG GRAIN, BEST BASMATI RICE FOR BIRYANI, 10 KG",Red Rose,essentials,rice,10.0,kg,1399.0,jiomart,357.0,74.5,1.2,3.8,0.6,0.4,0.7,1.0,0.2,,,,,,,
17,jiomart_tez_tez_pure_and_natural_pt3_kachchi_ghani_mustard_oil_5_l,Tez Pure and Natural PT3 Kachchi Ghani Mustard Oil 5 L,Tez,essentials,oil,5.0,L,1059.0,jiomart,,,,,14.8,9.3,,,,,,,,,,
18,jiomart_keya_keya_gourmet_100_durum_wheat_semolina_pasta_combo_fusilli_pasta_x_1_penne_pasta_x_1_400_gm_each,"Keya Gourmet 100% Durum Wheat Semolina Pasta Combo | Fusilli Pasta x 1, Penne Pasta x 1| 400 gm Each (800 gm)",Keya,noodles_pasta,noodles-pasta,400.0,g,270.0,jiomart,375.0,70.0,1.0,12.0,2.0,0.5,3.0,350.0,1.0,,,,,,,
19,jiomart_kvd_collection_kvd_collection_bangla_tetul_achar_sweet_tamarind_pickle_250_gram_acchar,KVD Collection Bangla Tetul Achar | Sweet Tamarind Pickle | 250 Gram| Acchar,Kvd Collection,flavourings,pickles-chutney,250.0,g,199.0,jiomart,120.0,24.0,18.0,1.0,7.0,2.0,0.5,150.0,4.0,,,,,,,
20,jiomart_veganic_veganic_white_kidney_beans_small_rajma_cannellini_bean_safed_rajmaa_900_grams,Veganic White Kidney Beans | Small Rajma | Cannellini bean | Safed Rajmaa (900 grams),Veganic,essentials,pulses,900.0,g,329.0,jiomart,,21.2,1.8,15.3,0.9,0.4,6.2,1.5,0.3,,,,,,,
21,jiomart_gajdant_discover_life_long_health_and_happiness_gajdant_discover_life_long_health_and_happiness_tukd,Gajdant ; Discover life Long Health and Happiness Tukda Rice (1Kg),Gajdant ; Discover Life Long Health And Happiness,essentials,rice,1.0,kg,470.0,jiomart,348.0,74.2,4.5,3.8,0.7,0.4,1.2,1.5,0.8,,,,,,,
22,jiomart_shiva_organic_shiva_organic_ragi_atta_15_kg_finger_millet_flour_high_protein_gluten_free_diabetic_fr,"Shiva Organic Ragi Atta 1.5 kg | Finger Millet Flour - High Protein, Gluten Free, & Diabetic Friendly | Stone Ground, Ancient Grain | Sourced from Uttarakhand",Shiva Organic,essentials,flour,1.5,kg,250.0,jiomart,360.0,75.0,2.5,12.4,1.8,0.9,3.6,2.0,0.5,,,,,,,
23,jiomart_organic_tattva_organic_tattva_natural_himalayan_black_salt_500_g,Organic Tattva Natural Himalayan Black Salt 500 g,Organic Tattva,essentials,salt-sugar,500.0,g,52.0,jiomart,,,0.1,0.0,0.0,0.0,0.0,,95.0,,,,,,,
24,jiomart_organic_purify_organic_purify_home_made_dry_potato_chips_ready_to_fry_900g,Organic Purify Home Made Dry Potato Chips Ready to Fry- 900g,Organic Purify,ready_to_eat,ready-to-eat,900.0,g,349.0,jiomart,375.0,24.5,1.2,3.8,20.4,11.6,0.5,150.0,2.3,,,,,,,
25,jiomart_green_piece_green_piece_badamvanillachocolate_and_butter_scotch_flavor_food_essence30gm_x4pack_of_4,"Green Piece Badam,Vanilla,Chocolate and Butter Scotch Flavor food Essence.(30gm x4)(Pack of 4)",Green Piece,flavourings,pickles-chutney,30.0,g,299.0,jiomart,,,,,0.8,0.6,0.2,50.0,0.1,"Green Piece Badam, Vanilla, Chocolate, Butter Scotch Flavor",30g,7.0,,,,
26,jiomart_masterchow_masterchow_chinese_veg_hakka_noodles_600_gm,"Masterchow Chinese Veg Hakka Noodles, 600 Gm",Masterchow,noodles_pasta,noodles-pasta,600.0,g,229.0,jiomart,375.0,69.8,10.3,11.5,13.2,4.1,0.8,350.0,3.2,,,,,,,
27,jiomart_panchamrutha_deluxe_panchamrutha_deluxe_26kgs_sona_masuri_rice_f_fortified_with_9_added_vitamins_min,"PANCHAMRUTHA DELUXE 26KGS SONA MASURI RICE ,+F (Fortified with 9 added VITAMINS & MINERALS )",Panchamrutha Deluxe,essentials,rice,26.0,kg,2068.0,jiomart,364.0,74.2,1.4,3.8,0.9,0.6,0.5,2.4,0.3,,,,,,,
28,jiomart_veganic_veganic_xanthan_gum_powder_thickening_bindingbaking_agent_keto_friendly_vegan_gluten_free_fo,Veganic Xanthan Gum Powder | Thickening Binding/Baking Agent | Keto Friendly & Vegan | Gluten Free Food Stabilizer,Veganic,essentials,rice,,,289.0,jiomart,,,,,0.2,0.1,0.5,10.0,0.05,"Veganic Xanthan Gum Powder, Mustard Oil, Rice Flour",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,
29,jiomart_chatokde_chatokde_natural_whole_almond_badam_giri_for_rich_in_protein_and_increase_stamina_100_gram,"CHATOKDE Natural Whole Almond / Badam Giri For Rich in Protein and Increase Stamina , 100 Gram",Chatokde,essentials,dry-fruits-nuts,100.0,g,199.0,jiomart,575.0,21.4,5.2,23.6,44.9,3.8,7.1,0.5,0.2,,,,,,,
30,jiomart_tinkus_tinkus_special_hing_mango_pickle_traditional_taste_of_aam_ka_achar_packed_with_spices_flavour,TINKUS Special Hing Mango Pickle | Traditional Taste of Aam Ka Achar Packed with Spices & Flavours |Pack Size - 200g,Tinkus,flavourings,pickles-chutney,200.0,g,165.0,jiomart,55.0,14.5,10.2,0.7,3.8,1.4,0.5,250.0,2.0,,,,,,,
31,jiomart_netar_netar_pure_mungfali_and_groundnut_oil_5_ltr,Netar Pure Mungfali and Groundnut Oil 5 Ltr,Netar,essentials,oil,5.0,L,1299.0,jiomart,870.0,0.4,0.0,18.2,89.6,7.1,0.5,0.0,0.0,,,,,,,
32,jiomart_nutra_vita_nutra_vita_freeze_dried_fine_cheese_powder_100_grams,Nutra Vita Freeze Dried fine Cheese Powder 100 Grams,Nutra Vita,dairy,cheese-paneer,100.0,g,299.0,jiomart,350.0,2.5,1.0,20.0,24.0,15.0,0.5,10.0,1.0,,,,,,,
33,jiomart_good_life_good_life_dry_ginger_powder_100_g,Good Life Dry Ginger Powder 100 g,Good Life,essentials,masala,100.0,g,47.0,jiomart,240.0,50.0,10.0,2.0,12.0,8.0,1.0,200.0,0.5,,,,,,,
34,jiomart_mecori_organic_mecori_organic_pure_nut_filtered_groundnut_oil_5_l_plastic_can_pack_of_2,Mecori Organic Pure Nut Filtered Groundnut Oil 5 L Plastic Can (Pack Of 2),Mecori Organic,essentials,oil,5.0,L,2699.0,jiomart,884.0,8.2,1.0,16.3,88.5,7.8,0.9,0.0,0.0,,,,,,,
35,jiomart_appayan_appayan_26_kg_royal_miniket_rice,APPAYAN 26 KG ROYAL MINIKET RICE,Appayan,essentials,rice,26.0,kg,2069.0,jiomart,368.0,75.2,0.9,3.4,1.6,0.8,0.7,2.5,0.3,,,,,,,
36,jiomart_trinetra_trinetra_kuttu_atta_2_kg_1_kg_x_2_pack,Trinetra Kuttu Atta 2 kg (1 kg X 2 Pack),Trinetra,essentials,flour,2.0,kg,485.0,jiomart,,66.0,3.5,4.2,1.8,1.2,2.5,,0.6,"Kuttu Atta, Mustard Oil, Jaggery",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,
37,jiomart_kwik_snack_kwik_snack_combo_quick_oats_pouch_2_x_400_g,kwik snack COMBO QUICK OATS Pouch (2 x 400 g),Kwik Snack,snacks,breakfast,,g,447.0,jiomart,,65.2,10.5,4.8,3.1,0.9,2.3,,0.5,,,,,,,
38,jiomart_nourish_you_nourish_you_pumpkin_seeds_250g_raw_pumpkin_seeds_for_eating_immunity_booster_and_protein,Nourish You Pumpkin Seeds 250g - Raw Pumpkin Seeds for Eating | Immunity Booster and Protein Rich Seeds | Healthy Diet Snacks | Weight management | Rich in fibre,Nourish You,essentials,dry-fruits-nuts,250.0,g,219.0,jiomart,579.0,15.1,2.8,13.9,44.5,3.7,4.6,0.0,0.0,,,,,,,
39,jiomart_momsy_momsy_premium_purify_home_made_dry_kacchi_potato_aaloo_ki_chips_potato_chips_ready_to_fry_250g,"Momsy Premium Purify Home Made Dry Kacchi Potato, Aaloo KI Chips, Potato Chips Ready to Fry (250gm)",Momsy,snacks,chips-namkeen,250.0,g,172.0,jiomart,375.0,52.0,1.0,3.0,20.0,8.0,0.5,200.0,2.0,,,,,,,
40,jiomart_sams_sams_700_veg_red_chilli_sauce_thick_spreads_and_dips_for_snacks_sauce_3_x_700_g,sams 700 Veg Red Chilli Sauce thick Spreads and Dips for Snacks Sauce (3 x 700 g),Sams,spread,sauce-ketchup-butter,,g,270.0,jiomart,,15.1,10.2,1.3,8.5,4.9,0.6,350.0,2.1,,,,,,,
41,jiomart_foodcan_foodcan_raisins_1_kg_original_afghani_kismis_dakh_green_long_size_kishmis_seedless_1_kg_supe,Foodcan Raisins 1 Kg Original Afghani Kismis Dakh Green Long Size (Kishmis) Seedless 1 Kg Supersaver Pack,Foodcan,essentials,dry-fruits-nuts,1.0,kg,599.0,jiomart,,73.8,68.4,1.2,0.3,0.1,2.9,,0.6,"Raisins, Sugar, Mustard Oil",30g,7.0,,,,
42,jiomart_guruji_jai_guruji_natural_rose_syrup_sharbat_each_750ml_pack_of_2,Jai Guruji Natural Rose Syrup Sharbat Each 750ml (Pack of 2),Guruji,beverage,juice-drink,750.0,ml,370.0,jiomart,,17.8,16.2,0.1,0.5,0.3,0.6,,,"Rose Syrup, Water, Sugar, Natural Flavour, Preservative (Potassium Sorbate)",30g,7.0,,,,
43,jiomart_green_piece_green_piece_garlic_mayo_hub_dipsspreads_250gm_x_1,Green Piece Garlic Mayo Hub Dips&Spreads (250gm x 1),Green Piece,flavourings,pickles-chutney,250.0,g,254.0,jiomart,,6.4,1.2,0.5,13.8,9.3,0.4,250.0,2.1,,,,,,,
44,jiomart_denali_foods_denali_foods_extra_premium_dark_compound_slabdelicious_for_baking_cakes_muffins_mousse_,"Denali Foods Extra Premium Dark Compound Slab-Delicious for Baking Cakes, Muffins, Mousse Bars (500 g)",Denali Foods,chocolate,chocolate,500.0,g,219.0,jiomart,550.0,64.2,55.1,3.8,39.4,28.5,0.6,10.0,0.3,,,,,,,
45,jiomart_divit_divitpinksalt210gm,DIVIT-PinkSalt-210gm,Divit,essentials,salt-sugar,210.0,g,125.0,jiomart,,,,,0.2,0.1,0.0,150.0,60.0,,,,,,,
46,jiomart_well_green_well_green_quinoa_flour_1_kg_gluten_free_rich_in_antioxidant,WELL GREEN Quinoa Flour 1 Kg Gluten Free | Rich In Antioxidant,Well Green,essentials,flour,1.0,kg,249.0,jiomart,,65.0,2.5,8.1,4.3,0.7,6.9,,0.2,"Quinoa, Mustard Oil, Salt",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,
47,jiomart_7_up_7_up_lemon_lime_refreshing_soft_drink_each_320ml_imported_from_usa,7 Up Lemon Lime Refreshing Soft Drink Each 320ml - Imported from USA,7 Up,beverage,juice-drink,7.0,Up,280.0,jiomart,,,,,0.1,0.01,,10.0,0.05,,,,,,,
48,jiomart_ritually_pure_ritually_pure_100_organic_dalia_porridge_wheat_broken_dalia_500_gm_pack,Ritually Pure 100% Organic | Dalia| Porridge |Wheat Broken Dalia | 500 Gm Pack,Ritually Pure,essentials,flour,500.0,g,149.0,jiomart,,64.0,1.2,4.8,3.6,1.5,0.9,,0.2,"Wheat, Mustard Oil, Jaggery",30g,7.0,,,,
49,jiomart_hitkary_pharmacy_hitkary_pharmacy_rose_syrup_700_ml,Hitkary Pharmacy Rose Syrup 700 ml,Hitkary Pharmacy,beverage,juice-drink,700.0,ml,165.0,jiomart,,16.8,42.2,0.1,0.7,0.4,,10.0,2.0,"Rose Syrup, Sugar, Water, Mustard Oil",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,
50,jiomart_indimix_indimix_vada_mix_instant_ready_to_cook_a_delicious_traditional_breakfast_enjoy_grabbing_cris,Indimix Vada Mix | Instant Ready To Cook | A Delicious Traditional Breakfast | Enjoy grabbing crispy bites | Easy and Quick to Make - 500gm,Indimix,ready_to_eat,ready-to-eat,500.0,g,261.0,jiomart,370.0,58.0,10.0,4.0,18.0,8.0,2.0,450.0,2.0,,,,,,,
51,jiomart_srisauham_srisauham_100_natural_premium_urad_sabutwhole_black_gram_dal_1_kg,SRISAUHAM 100% Natural Premium Urad Sabut/Whole (Black Gram) Dal - 1 kg,Srisauham,essentials,pulses,1.0,kg,236.0,jiomart,348.0,69.4,3.9,16.8,0.6,0.2,1.4,1.0,0.3,,,,,,,
52,jiomart_kwik_snack_kwik_snack_hearty_oats_steel_cut_pouch_400_g,kwik snack Hearty Oats Steel Cut Pouch (400 g),Kwik Snack,snacks,breakfast,400.0,g,197.0,jiomart,369.0,66.5,11.2,8.3,9.1,4.7,4.5,150.0,0.8,,,,,,,
53,jiomart_smith_jones_smith_jones_pasta_masala_98_g,Smith & Jones Pasta Masala 98 g,Smith & Jones,essentials,masala,98.0,g,59.0,jiomart,370.0,55.0,10.0,5.0,20.0,10.0,1.0,350.0,2.0,,,,,,,
54,jiomart_bagrrys_bagrrys_crunchy_muesli_with_30_fruit_nut_cranberries_1kg_jar34_fibre_rich_oatsno_sugar_infue,Bagrry's Crunchy Muesli with 30% Fruit & Nut Cranberries 1kg Jar|34% Fibre Rich Oats|No Sugar Infuesed Fruits|Real Fruits|Breakfast Cereal|Protein Rich|Cranberry Muesli,Bagrry'S,snacks,breakfast,1.0,kg,666.0,jiomart,,57.4,10.2,8.1,3.5,0.9,34.6,,0.2,"Oats, Cranberries, Mustard Oil, Jaggery, Indian Spices",30g,7.0,0.85,Verified from Indian nutrition label,,
55,jiomart_piyor_piyor_premium_afghani_anjeer1kg_dried_figs_anjir_dry_fruits_natural_rich_source_of_iron_fibre_,"PIYOR Premium Afghani Anjeer-1kg | Dried Figs | Anjir Dry Fruits | Natural, Rich Source of Iron, Fibre & Vitamins",Piyor,essentials,dry-fruits-nuts,1.0,kg,639.0,jiomart,369.0,74.4,54.2,3.9,7.1,0.8,11.4,0.2,0.1,,,,,,,
56,jiomart_freshocartz_freshocartz_afghani_black_raisins_1kg_kali_dakh_kali_kishmish_kismis_daakh_dried_grapes_,FreshoCartz Afghani Black Raisins 1kg | Kali Dakh | Kali Kishmish | Kismis | Daakh |Dried Grapes Raisins,Freshocartz,essentials,dry-fruits-nuts,1.0,kg,449.0,jiomart,,63.9,55.1,0.3,0.2,0.1,4.5,,0.02,"Black Raisins, Mustard Oil",30g,7.0,,,,
57,jiomart_freshocartz_freshocartz_masala_amla_candy_300gm_spicy_and_salted_digestive_masala_coating_fresh_amla,FreshoCartz Masala Amla Candy 300gm | Spicy and Salted Digestive Masala Coating Fresh Amla | Indian Gooseberry Candy | After meal Mukhwas | Churna | Churan | Chatpata Amla - Jar Pack (Masala Amla),Freshocartz,chocolate,chocolate,300.0,g,199.0,jiomart,,45.5,24.2,1.8,11.3,7.4,0.5,,2.1,"Mustard oil, Jaggery, Indian spices (including Amla), Sugar, Cocoa powder",30g,7.0,,,,
58,jiomart_pinkcity_pinkcity_wellness_groundnut_oil_5_litres_wooden_cold_pressed_peanut_oil_1_ltr_x_5_bottles,Pinkcity Wellness GroundNut Oil 5 Litres | Wooden Cold Pressed | Peanut Oil | 1 Ltr x 5 Bottles,Pinkcity,essentials,oil,5.0,L,875.0,jiomart,884.0,2.7,0.1,16.3,97.8,11.4,0.2,0.1,0.1,,,,,,,
59,jiomart_goodricke_goodricke_thurbo_fannings_darjeeling_tea_250_g_pack_of_3,GOODRICKE Thurbo Fannings Darjeeling Tea 250 g (Pack of 3),Goodricke,beverage,tea-cofee,250.0,g,600.0,jiomart,,3.8,1.5,0.2,0.4,0.1,0.3,,0.05,,,,,,,
60,jiomart_goshudh_goshudh_desi_khand_2_kg_1kg_x_2_pack_sugar,Goshudh Desi Khand 2 kg (1Kg X 2 Pack) Sugar,Goshudh,essentials,salt-sugar,2.0,kg,322.0,jiomart,,65.0,55.0,3.0,15.0,8.0,2.0,250.0,0.5,,,,,,,
61,jiomart_pinkcity_pinkcity_wellness_kachi_ghani_mustard_oil_4_l_wood_pressed_4_x_1_litre_bottle,Pinkcity Wellness Kachi Ghani Mustard Oil 4 L | Wood Pressed | 4 x 1 Litre Bottle,Pinkcity,essentials,oil,,L,999.0,jiomart,890.0,0.0,0.0,0.0,99.5,10.2,0.0,0.0,0.0,,,,,,,
62,jiomart_devavo_devavo_dry_garlic_coconut_chutney_200_g_vada_pav_chutney_authentic_maharashtrian_recipe_ready,Devavo Dry Garlic Coconut Chutney 200 g | Vada Pav Chutney | Authentic Maharashtrian Recipe | Ready to Eat | Handmade with Love | No Artificial Colour & Flavour | No Preservatives,Devavo,flavourings,pickles-chutney,200.0,g,249.0,jiomart,,24.8,10.2,1.9,18.4,14.3,0.6,20.0,2.0,,,,,,,
