batch_id,original_product_id,product_name,brand,category,subcategory,size_value,size_unit,price,source,energy_kcal_per_100g,carbs_g_per_100g,total_sugars_g_per_100g,protein_g_per_100g,fat_g_per_100g,saturated_fat_g_per_100g,fiber_g_per_100g,sodium_mg_per_100g,salt_g_per_100g,ingredients_list,serving_size,servings_per_container,confidence_score,data_source,processing_notes,- energy_kcal_per_100g,- carbs_g_per_100g,- total_sugars_g_per_100g,- protein_g_per_100g,- fat_g_per_100g,- saturated_fat_g_per_100g,- fiber_g_per_100g,- sodium_mg_per_100g,- salt_g_per_100g
1,jiomart_ritually_pure_ritually_pure_100_organic_sooji_semolina_500_gm_pack,Ritually Pure 100% Organic | Sooji (Semolina) | 500 Gm Pack,Ritually Pure,essentials,flour,500.0,g,165.0,jiomart,362.0,73.5,0.9,8.3,2.1,0.7,1.4,0.5,0.3,,,,,,,,,,,,,,,
2,jiomart_chings_secret_chings_secret_veg_hakka_noodles_560_g,Ching's Secret Veg Hakka Noodles 560 g,Ching'S Secret,noodles_pasta,noodles-pasta,560.0,g,106.0,jiomart,370.0,63.8,10.2,5.3,12.1,4.6,0.9,350.0,2.5,,,,,,,,,,,,,,,
3,jiomart_tata_sampann_tata_sampann_chicken_masala_100_g,Tata Sampann Chicken Masala 100 g,Tata Sampann,essentials,masala,100.0,g,77.0,jiomart,370.0,10.0,2.0,14.0,25.0,8.0,0.5,350.0,2.0,,,,,,,,,,,,,,,
4,jiomart_blue_himalayas_blue_himalayas_kashmiri_wallnuts_kernels_50_more_oil_wallnut_kernels_unpolished_unpro,Blue Himalayas Kashmiri Wallnuts Kernels | 50 % More Oil Wallnut Kernels | Unpolished & Unprocessed,Blue Himalayas,essentials,dry-fruits-nuts,,,799.0,jiomart,575.0,17.2,3.1,21.4,56.5,12.8,7.6,0.1,0.2,,,,,,,,,,,,,,,
5,jiomart_aeroplane_aeroplane_metro_basmati_rice_5_kg,"Aeroplane Metro Basmati Rice, 5 Kg",Aeroplane,essentials,rice,5.0,kg,699.0,jiomart,109.0,24.4,0.8,2.7,1.3,0.9,0.6,0.5,0.2,"Basmati Rice, Mustard Oil, Jaggery",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,,,,,,,,,
6,jiomart_add_me_add_me_lemon_pickle_sweet_and_sour_without_oil_lime_pickle_nimbu_ka_achar_red_stuffed_chilli_,Add me Lemon Pickle Sweet and Sour Without Oil Lime Pickle Nimbu Ka Achar & Red Stuffed Chilli Pickle lal mirchi ka Bharwa achar 200gm Each Combo Gift Pack Pickles Glass Jar,Add Me,flavourings,pickles-chutney,200.0,g,249.0,jiomart,60.0,10.0,5.0,1.0,3.0,0.5,0.0,200.0,2.0,,,,,,,,,,,,,,,
7,jiomart_good_life_good_life_s_fennel_200_g,Good Life (S) Fennel 200 g,Good Life,essentials,masala,200.0,g,103.0,jiomart,375.0,43.5,7.2,3.8,21.4,12.1,0.5,200.0,2.3,,,,,,,,,,,,,,,
8,jiomart_good_life_good_life_value_almond_500_g,Good Life Value Almond 500 g,Good Life,essentials,dry-fruits-nuts,500.0,g,383.0,jiomart,,,,,55.0,8.5,6.0,2.0,0.1,,,,,,,,,,,,,,,
9,jiomart_add_me_add_me_homemade_pizza_pasta_sauce_300g_authentic_italian_tomato_chutney_glass_pack,Add me Homemade Pizza & Pasta Sauce 300g | Authentic Italian Tomato Chutney Glass Pack,Add Me,flavourings,pickles-chutney,300.0,g,249.0,jiomart,350.0,60.0,20.0,2.0,15.0,8.0,2.0,200.0,5.0,,,,,,,,,,,,,,,
10,jiomart_gopaldhara_gopaldhara_darjeeling_tea_spring_regalia_silver_tips_oolong_first_flush_tea_125g_paper_bo,Gopaldhara Darjeeling Tea Spring Regalia Silver Tips Oolong First Flush Tea 125g Paper Box - (Classic Series),Gopaldhara,beverage,tea-cofee,125.0,g,807.0,jiomart,,,,,0.2,0.1,0.0,10.0,,,,,,,,,,,,,,,,
11,jiomart_organic_tattva_organic_tattva_organic_chana_dal_1kg_bengalgram_dal_rich_in_protein_naturally_gluten_,"Organic Tattva, Organic Chana Dal 1Kg | Bengalgram Dal |Rich in Protein | Naturally Gluten Free | Unpolished Dal | Pesticide and Chemical Free | Pack of 2",Organic Tattva,essentials,pulses,1.0,kg,376.0,jiomart,,64.2,0.3,25.5,4.9,1.8,10.2,,0.3,,,,,,,,,,,,,,,
12,jiomart_sambhojanam_sambhojanam_makka_atta_450_gmmaize_flour_corn_flourhigh_fiber,Sambhojanam Makka Atta 450 gm/Maize Flour /Corn Flour/High Fiber,Sambhojanam,essentials,flour,450.0,g,150.0,jiomart,360.0,69.5,4.2,10.3,1.8,0.9,7.5,2.0,0.4,,,,,,,,,,,,,,,
13,jiomart_patanjali_patanjali_doodh_biscuits_800_g,Patanjali Doodh Biscuits 800 g,Patanjali,snacks,biscuit,800.0,g,114.0,jiomart,,34.2,12.4,3.5,15.1,8.5,0.9,230.0,2.3,"Mustard Oil, Sugar, Wheat Flour, Baking Powder, Salt, Ghee, Doodh (Milk), Spices",30g,7.0,,,,,,,,,,,,
14,jiomart_pothigai_natural_pothigai_natural_citron_narthangai_pickle_500g_pure_home_made_pickle_made_with_wood,Pothigai Natural Citron / Narthangai Pickle 500g / Pure Home Made Pickle / Made with Wooden Cold Pressed Gingelly Oil / No Preservatives/ 100% Natural ( Pack of 1),Pothigai Natural,flavourings,pickles-chutney,500.0,g,279.0,jiomart,,,,,15.0,8.5,1.5,200.0,2.0,,,,,,,,,,,,,,,
15,jiomart_good_life_good_life_hmt_kolam_rice_10_kg,Good Life HMT Kolam Rice 10 kg,Good Life,essentials,rice,10.0,kg,599.0,jiomart,369.0,76.2,1.4,3.6,0.8,0.5,0.2,1.0,0.4,,,,,,,,,,,,,,,
16,jiomart_pitaamah_pitaamah_telangana_sona_5kg_rnr15048_rice_directly_from_farmers,Pitaamah Telangana Sona | 5kg | RNR15048 Rice | Directly From Farmers,Pitaamah,essentials,rice,5.0,kg,699.0,jiomart,350.0,70.0,1.0,2.0,3.0,0.5,0.5,10.0,1.0,,,,,,,,,,,,,,,
17,jiomart_rice_villa_device_of_shield_paddy_tree_rice_villa_pure_05_kg_gobindo_bhog_jeera_kasala_kaima_rice,Rice Villa| Pure| 05 kg| Gobindo Bhog | Jeera kasala| Kaima rice,"Rice Villa, Device Of Shield, Paddy Tree",essentials,rice,5.0,kg,1335.0,jiomart,350.0,74.2,1.3,4.5,0.7,0.2,0.6,1.0,0.3,,,,,,,,,,,,,,,
18,jiomart_bagrrys_bagrrys_crunchy_no_added_sugar_0_diet_muesli_with_high_fibre_100_vegan_plant_based_500g_pack,"Bagrry's Crunchy No Added Sugar 0% Diet Muesli with High Fibre| 100% Vegan & Plant Based 500g, pack of 2",Bagrry'S,snacks,breakfast,500.0,g,702.0,jiomart,,,,,,,10.2,,,,,,,,,,,,,,,,,
19,jiomart_high_fresh_high_fresh_premium_mamra_almonds_1kg_crunchy_natural_dry_fruits_for_healthy_snacking,HIGH FRESH Premium Mamra Almonds 1kg | Crunchy & Natural Dry Fruits for Healthy Snacking,High Fresh,essentials,dry-fruits-nuts,1.0,kg,1350.0,jiomart,575.0,21.5,4.2,21.8,50.3,6.7,9.5,0.0,0.0,,,,,,,,,,,,,,,
20,jiomart_gustora_gustora_healthy_durum_wheat_my_toy_whole_wheat_spaghetti_pasta_combo_pack_of_2_i_rich_in_pro,Gustora Healthy Durum Wheat My Toy & Whole Wheat Spaghetti Pasta combo pack of 2 I Rich In Protein & Fibre I Zero Cholesterol I Vegetarian I No Trans - Fat I Cooking Time 10 Min - (750 Gm X 2),Gustora,noodles_pasta,noodles-pasta,2.0,,209.0,jiomart,350.0,68.0,2.0,10.0,1.0,0.5,4.0,200.0,2.0,,,,,,,,,,,,,,,
21,jiomart_momsy_momsy_premium_gluten_free_choco_cookies_950g_lactose_free_tasty_crunchy_choco_flavoured_cookie,Momsy Premium Gluten Free Choco Cookies 950g | Lactose Free | Tasty & Crunchy Choco flavoured Cookie,Momsy,snacks,biscuit,950.0,g,366.0,jiomart,550.0,65.0,25.0,5.0,30.0,15.0,2.0,250.0,0.8,,,,,,,,,,,,,,,
22,jiomart_yogabar_yogabar_dark_chocolate_peanut_butter_and_muesli_combo_dark_chocolate_peanut_butter_400gm_dar,Yogabar Dark Chocolate Peanut Butter and Muesli Combo | Dark Chocolate Peanut Butter - (400gm ) | Dark Chocolate Muesli - ( 700gm ),Yogabar,snacks,breakfast,400.0,g,599.0,jiomart,,43.2,24.5,13.4,20.1,11.3,3.2,250.0,0.5,"Dark Chocolate, Peanut Butter, Muesli",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,,,,,,,,,
