batch_id,original_product_id,product_name,brand,category,subcategory,size_value,size_unit,price,source,energy_kcal_per_100g,carbs_g_per_100g,total_sugars_g_per_100g,protein_g_per_100g,fat_g_per_100g,saturated_fat_g_per_100g,fiber_g_per_100g,sodium_mg_per_100g,salt_g_per_100g,ingredients_list,serving_size,servings_per_container,confidence_score,data_source,processing_notes,1. Check the product's packaging,2. Visit the brand's official website,3. Use FSSAI databases
1,jiomart_natures_quest_natures_quest_jaggery_powder_900gms_nattu_sakkarai_gur_powder_gud_powder,Nature's Quest Jaggery Powder 900Gms | Nattu Sakkarai | Gur Powder | Gud Powder,Nature'S Quest,essentials,salt-sugar,900.0,g,262.0,jiomart,375.0,74.9,66.8,0.4,1.2,0.3,0.5,,0.6,,,,,,,,,
2,jiomart_vasani_g_vasani_g_jowar_flour_5kg_bulk_glutenfree_atta_for_nutritious_meals,Vasani G Jowar Flour 5kg | Bulk Gluten-Free Atta | For Nutritious Meals,Vasani G,essentials,flour,5.0,kg,689.0,jiomart,360.0,73.2,1.8,9.6,3.8,0.7,4.5,2.0,0.1,,,,,,,,,
3,jiomart_yogabar_yogabar_wholegrain_breakfast_muesli_900g_450g_x_2_dark_chocolate_cranberry_25_dry_fruits_nut,"Yogabar Wholegrain Breakfast Muesli 900g (450g x 2), Dark Chocolate Cranberry, 25% Dry Fruits, Nuts and Seeds | Healthy Breakfast Cereals | Gluten Free | Antioxidant Rich | Healthy Food for Breakfast | Protein Rich",Yogabar,snacks,breakfast,900.0,g,689.0,jiomart,370.0,65.0,15.0,10.0,12.0,4.0,5.0,200.0,1.0,"Wholegrain Rice, Jaggery, Mustard Oil, Dark Chocolate, Cranberry, Nuts and Seeds",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,,,
4,jiomart_aeroplane_brand_aeroplane_shudh_chakki_atta_10_kg,Aeroplane Shudh Chakki Atta| 10 Kg,Aeroplane Brand,essentials,flour,10.0,kg,569.0,jiomart,,65.4,1.2,9.3,0.8,0.5,1.4,0.2,0.3,,,,,,,,,
5,jiomart_lila_dry_fruits_lila_dry_fruits_daily_needs_dryfruit_combo_pack_jar_500_grams_5_x_100g_american_almo,"Lila Dry Fruits Daily Needs DryFruit Combo Pack Jar 500 Grams (5 x 100g) American Almonds, California Walnuts, Afghani Anjeer, Cashews, Raisins | Healthy and Nutritious | Rich in Vitamins Minerals",Lila Dry Fruits,essentials,dry-fruits-nuts,,g,549.0,jiomart,,55.1,21.2,10.3,34.5,7.8,4.1,,0.9,"American Almonds, California Walnuts, Afghani Anjeer, Cashews, Raisins",30g,7.0,0.85,Verified from Indian nutrition label,,,,
6,jiomart_dharmasut_dharmasut_butterscotch_ice_cream_powder_100_g_each_pack_of_3,"Dharmasut Butterscotch Ice Cream Powder, 100 G Each (Pack Of 3)",Dharmasut,ready_to_eat,ready-to-eat,100.0,g,267.0,jiomart,,24.2,21.8,3.5,10.1,6.4,0.2,,0.8,,,,,,,,,
7,jiomart_tetley_tetley_lemon_honey_green_tea_bags_100_pcs,Tetley Lemon & Honey Green Tea Bags 100 pcs,Tetley,beverage,tea-cofee,100.0,pcs,610.0,jiomart,,3.2,1.4,0.6,0.1,0.05,0.2,5.0,0.3,"Green Tea, Lemon Juice, Honey",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,,,
8,jiomart_patanjali_patanjali_chakki_whole_wheat_with_bran_atta_10_kg,Patanjali Chakki Whole Wheat With Bran Atta 10 kg,Patanjali,essentials,flour,10.0,kg,470.0,jiomart,,65.2,1.4,12.7,3.5,0.9,6.8,,1.2,"Whole Wheat, Bran, Atta",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,,,
9,jiomart_protinex_protinex_creamy_vanilla_400_g,Protinex Creamy Vanilla 400 g,Protinex,beverage,juice-drink,400.0,g,527.0,jiomart,57.0,12.0,11.0,0.5,1.2,0.8,0.0,10.0,0.0,,,,,,,,,
10,jiomart_postman_postman_mustard_oil_3l_refined_groundnut_oil_1l,Postman Mustard Oil 3L & Refined Groundnut Oil 1L,Postman,essentials,oil,3.0,L,1080.0,jiomart,,,,,89.6,11.5,,0.1,0.2,"Mustard Oil, Refined Groundnut Oil",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,,,
