batch_id,original_product_id,product_name,brand,category,subcategory,size_value,size_unit,price,source,energy_kcal_per_100g,carbs_g_per_100g,total_sugars_g_per_100g,protein_g_per_100g,fat_g_per_100g,saturated_fat_g_per_100g,fiber_g_per_100g,sodium_mg_per_100g,salt_g_per_100g,ingredients_list,serving_size,servings_per_container,confidence_score,data_source,processing_notes,product_id
1,jiomart_wingreens_farms_wingreens_farms_premium_vey_mayo_800_g,Wingreens Farms Premium Vey Mayo 800 g,Wingreens Farms,spread,sauce-ketchup-butter,800.0,g,117.0,jiomart,,,3.5,0.2,16.9,10.4,0.1,,,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_wingreens_farms_wingreens_farms_premium_vey_mayo_800_g
2,jiomart_nature_yard_nature_yard_black_raisins_seedless_kali_kismis_kishmish_dry_fruit_250_gm_premium_afghani,NATURE YARD Black Raisins Seedless / kali kismis / kishmish dry fruit - 250 Gm - Premium Afghani Seedless Dry Black Grapes,Nature Yard,essentials,dry-fruits-nuts,250.0,g,199.0,jiomart,360.0,76.0,64.0,1.0,0.5,0.0,2.0,0.0,0.0,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_nature_yard_nature_yard_black_raisins_seedless_kali_kismis_kishmish_dry_fruit_250_gm_premium_afghani
3,jiomart_kwik_snack_kwik_snack_ott30oats_healthy_super_oats_pouch_pouch_200_g,kwik snack (OTT30-Oats) Healthy Super Oats Pouch Pouch (200 g),Kwik Snack,snacks,breakfast,200.0,g,157.0,jiomart,360.0,64.0,10.0,4.0,14.0,2.5,3.0,200.0,1.5,"Oats, Mustard Oil, Jaggery, Spices",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,jiomart_kwik_snack_kwik_snack_ott30oats_healthy_super_oats_pouch_pouch_200_g
4,jiomart_bevzilla_bevzilla_instant_coffee_powder_turkish_hazelnut_flavour_75_grams_100_premium_arabica_beans_,BEVZILLA Instant Coffee Powder (Turkish Hazelnut Flavour) - 75 Grams | 100 % Premium Arabica Beans | Hot & Cold Coffee | Makes 40 Cups | Strong Coffee | Flavoured Coffee| Best Coffee| Premium Coffee| Dark Roast| Instant Coffee,Bevzilla,beverage,tea-cofee,75.0,g,189.0,jiomart,,,,2.5,0.1,0.05,0.5,10.0,,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_bevzilla_bevzilla_instant_coffee_powder_turkish_hazelnut_flavour_75_grams_100_premium_arabica_beans_
5,jiomart_yoga_bar_yoga_bar_dry_fruits_trail_mix_850g,Yoga Bar Dry Fruits Trail Mix 850g,Yoga Bar,essentials,dry-fruits-nuts,850.0,g,569.0,jiomart,550.0,65.0,20.0,10.0,30.0,15.0,5.0,200.0,2.0,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_yoga_bar_yoga_bar_dry_fruits_trail_mix_850g
6,jiomart_ensure_ensure_diabetes_care_vanilla_drink_powder_375_g,Ensure Diabetes Care Vanilla Drink Powder 375 g,Ensure,beverage,juice-drink,375.0,g,773.0,jiomart,,25.6,18.9,2.5,0.4,0.1,0.3,150.0,,"Mustard oil, Sugar, Skimmed milk powder, Vegetable fat, Whey protein concentrate, Emulsifier (Soy lecithin), Vanilla flavor, Salt",30g,7.0,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_ensure_ensure_diabetes_care_vanilla_drink_powder_375_g
7,jiomart_devavo_devavo_coconut_green_chutney_powder_200_g_just_add_water_to_prepare_authentic_south_indian_re,Devavo Coconut Green Chutney Powder 200 g | Just Add Water to Prepare | Authentic South Indian Recipe | No Onion & Garlic | No Artificial Colour & Flavour | No Preservatives,Devavo,flavourings,pickles-chutney,200.0,g,249.0,jiomart,,,,,0.2,0.1,,10.0,5.0,,,,,,,jiomart_devavo_devavo_coconut_green_chutney_powder_200_g_just_add_water_to_prepare_authentic_south_indian_re
8,jiomart_green_piece_green_piece_gorkeri_sweet_mango_and_mango_pickle_500gm_pack_of_2,Green Piece Gor-Keri (Sweet Mango ) and Mango Pickle 500gm. (Pack of 2),Green Piece,flavourings,pickles-chutney,500.0,g,274.0,jiomart,150.0,34.0,32.0,1.0,8.0,4.0,2.0,200.0,3.0,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_green_piece_green_piece_gorkeri_sweet_mango_and_mango_pickle_500gm_pack_of_2
9,jiomart_laxmi_laxmi_daily_feast_500_gm_rangooni_val_lima_beans,Laxmi Daily Feast 500 gm Rangooni Val | Lima Beans,Laxmi,essentials,pulses,500.0,g,239.0,jiomart,,21.7,1.8,10.5,0.9,0.4,6.2,1.3,0.8,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 6,jiomart_laxmi_laxmi_daily_feast_500_gm_rangooni_val_lima_beans
10,jiomart_topales_topales_premium_wooden_cold_pressed_coconut_oil_100ml_pack_of_2,TOPALE'S - Premium Wooden Cold Pressed Coconut Oil 100ML| Pack of 2,Topale'S,essentials,oil,100.0,ml,230.0,jiomart,,,,,23.0,19.0,,,,"Coconut, Mustard Oil",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,jiomart_topales_topales_premium_wooden_cold_pressed_coconut_oil_100ml_pack_of_2
