id,product_id,product_name,brand,category,subcategory,size_value,size_unit,price,source,ingredients_list,energy_kcal_per_100g,carbs_g_per_100g,total_sugars_g_per_100g,protein_g_per_100g,fat_g_per_100g,saturated_fat_g_per_100g,fiber_g_per_100g,sodium_mg_per_100g,salt_g_per_100g,serving_size,servings_per_container,confidence_score,data_source,processing_notes
1,jiomart_minute_maid_minute_maid_pulpy_orange_fruit_juice_1_l,Minute Maid Pulpy Orange Fruit Juice 1 L,Minute Maid,beverage,juice-drink,1.0,L,65.0,jiomart,"Water, Sugar, Orange Juice, Natural Flavors, Preservatives",46,11.3,11.3,0,0,0,0,5,0.0125,250ml,4,1.0,Minute Maid India official website,Verified nutrition from official sources
2,jiomart_fanta_fanta_orange_750_ml,Fanta Orange 750 ml,Fanta,beverage,juice-drink,750.0,ml,36.0,jiomart,"Carbonated Water, Sugar, Orange Juice Concentrate, Acidity Regulators, Preservatives",44,11,11,0,0,0,0,4,0.01,250ml,3,1.0,Fanta India nutrition label,Verified nutrition from official sources
3,jiomart_horlicks_horlicks_chocolate_delight_500_g,Horlicks Chocolate Delight 500 g,Horlicks,beverage,juice-drink,500.0,g,184.0,jiomart,"Malted Barley, Wheat Flour, Milk Solids, Sugar, Cocoa, Minerals, Vitamins",370,75,33,8,1.2,0.6,2,250,0.625,30g,16,1.0,Horlicks India label,Verified nutrition from official sources
4,jiomart_bournvita_bournvita_chocolate_nutrition_drink_1_kg_pouch,Bournvita Chocolate Nutrition Drink 1 kg Pouch,Bournvita,beverage,juice-drink,1.0,kg,375.0,jiomart,"Malted Barley, Wheat Flour, Sugar, Cocoa, Minerals, Vitamins",385,80,35,7,1,0.8,1,260,0.65,30g,33,1.0,Bournvita India official,Verified nutrition from official sources
5,jiomart_sprite_sprite_300_ml,Sprite 300 ml,Sprite,beverage,juice-drink,300.0,ml,36.0,jiomart,"Carbonated Water, Sugar, Natural Flavors, Citric Acid",40,10.5,10.5,0,0,0,0,5,0.0125,250ml,3,1.0,Sprite India website,Verified nutrition from official sources
6,jiomart_bournvita_bournvita_chocolate_nutrition_drink_700_g_pouch,"Bournvita Chocolate Nutrition Drink, 700 g Pouch",Bournvita,beverage,juice-drink,700.0,g,287.0,jiomart,"Malted Barley, Wheat Flour, Sugar, Cocoa, Minerals, Vitamins",385,80,35,7,1,0.8,1,260,0.65,30g,33,1.0,Bournvita India official,Verified nutrition from official sources
7,jiomart_real_real_fruit_power_pomegranate_juice_1_l,Real Fruit Power Pomegranate Juice 1 L,Real,beverage,juice-drink,1.0,L,98.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
8,jiomart_horlicks_horlicks_chocolate_delight_1_kg,Horlicks Chocolate Delight 1 kg,Horlicks,beverage,juice-drink,1.0,kg,282.0,jiomart,"Malted Barley, Wheat Flour, Milk Solids, Sugar, Cocoa, Minerals, Vitamins",370,75,33,8,1.2,0.6,2,250,0.625,30g,16,1.0,Horlicks India label,Verified nutrition from official sources
9,jiomart_horlicks_horlicks_chocolate_delight_750_g,Horlicks Chocolate Delight 750 g,Horlicks,beverage,juice-drink,750.0,g,229.0,jiomart,"Malted Barley, Wheat Flour, Milk Solids, Sugar, Cocoa, Minerals, Vitamins",370,75,33,8,1.2,0.6,2,250,0.625,30g,16,1.0,Horlicks India label,Verified nutrition from official sources
10,jiomart_real_real_fruit_power_litchi_juice_180_ml,Real Fruit Power Litchi Juice 180 ml,Real,beverage,juice-drink,180.0,ml,15.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
11,jiomart_pediasure_pediasure_chocolate_flavored_nutrition_drink_375_g,Pediasure Chocolate Flavored Nutrition Drink 375 g,Pediasure,beverage,juice-drink,375.0,g,650.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
12,jiomart_real_real_fruit_power_guava_juice_180_ml,Real Fruit Power Guava Juice 180 ml,Real,beverage,juice-drink,180.0,ml,15.0,jiomart,,,,,,,,,,,,,0.0,,Nutrition data not found; manual verification needed
